,Martin_1000_100Mb,Martin_5000_100Mb,Martin_10000_100Mb,Martin_25000_100Mb,Martin_50000_100Mb,Martin_100000_100Mb,Martin_250000_100Mb,Martin_500000_100Mb
0,3.5655515,12.381932,15.3928091,44.0658876,112.9385345,205.5384274,1012.169354,2076.225511
1,4.9872478,9.4738444,14.9311393,42.2848315,95.0797763,205.2682517,959.663411,2086.625561
2,5.1052975,8.6894555,14.6029794,43.8869092,91.3898912,205.4105349,1022.650937,2089.453963
3,5.0140647,9.2140502,14.7542281,41.8579114,93.0582897,205.1179606,1017.153051,2083.537957
4,4.9831561,9.2093698,15.6983993,45.0544428,89.4263949,204.4472063,1133.052946,2099.332537
5,3.6342554,9.5908376,17.5369418,52.6422682,89.4419242,205.4211058,1005.2722,2087.244634
6,3.1488901,9.5388003,20.9886527,48.8590791,89.4385599,217.7960675,983.7248574,2044.999364
7,3.2636581,9.0690816,17.6515112,43.0145863,89.2606722,218.7594673,947.2840517,2066.63108
8,3.1121229,9.4427119,15.5578991,46.2351394,89.0686699,216.6744638,965.788801,2089.680779
9,3.0087021,8.5584228,15.7091589,45.3481679,89.0695575,216.5573006,957.3411369,2107.582778
